"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"12/19/2021","Chipotle","CHIPOTLE 2040","8.30","debit","Restaurants","CREDIT CARD","",""
"12/17/2021","Thai Kitchen","THAI KITCHEN","25.19","debit","Restaurants","CREDIT CARD","",""
"12/16/2021","Amazon","Amazon","39.30","debit","Gift","LIFEGREEN CHECKING F","",""
"12/15/2021","GLOBAL MEDICAL 5","Global Medical Supplies Onglob","36.75","debit","Pharmacy","LIFEGREEN CHECKING F","",""
"12/15/2021","International","International Service Fee","1.10","debit","Business Services","LIFEGREEN CHECKING F","",""
"12/15/2021","Chipotle","CHIPOTLE 2040","8.30","debit","Restaurants","CREDIT CARD","",""
"12/14/2021","Los Arcos Seafood & Grill Inc","LOS ARCOS SEAFOOD & GRILL","17.30","debit","Restaurants","CREDIT CARD","",""
"12/14/2021","Tertiary Sight LLC","SQ *TERTIARY SIGHT","120.00","debit","Gift","CREDIT CARD","",""
"12/14/2021","CHASE CREDIT CRD RWRD RDM WEST","Chase Credit Card Rewards","100.98","credit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"12/13/2021","Piedmont Natural Gas Company, Inc.","Piedmont Natural Gas","52.36","debit","Utilities","LIFEGREEN CHECKING F","",""
"12/13/2021","Chase Credit Card","Chase Credit Card","429.92","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"12/13/2021"," Transfer","PayPal Transfer","69.96","credit","Transfer","LIFEGREEN CHECKING F","",""
"12/13/2021","Coinbase","Coinbase","500.00","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"12/13/2021","Trader Joe's","TRADER JOE'S #739 QPS","19.68","debit","Groceries","CREDIT CARD","",""
"12/12/2021","Trader Joe's","TRADER JOE'S #739 QPS","29.44","debit","Groceries","CREDIT CARD","",""
"12/12/2021","Kroger Fuel","KROGER FUEL 9547","36.84","debit","Gas & Fuel","CREDIT CARD","",""
"12/10/2021","Payment Thank You-Mobile","Payment Thank You-Mobile","429.92","credit","Credit Card Payment","CREDIT CARD","",""
"12/10/2021","Dollar Shave Club","Dollar Shave Club","4.37","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"12/09/2021","Amazon","Amazon","16.93","debit","Home Improvement","LIFEGREEN CHECKING F","",""
"12/09/2021","Alliancebernstei","Alliancebernstei","1887.35","credit","Income","LIFEGREEN CHECKING F","",""
"12/08/2021","Bearded Iris Brewing Company, LLC","BEARDED IRIS BREWING COMP","16.80","debit","Alcohol & Bars","CREDIT CARD","",""
"12/07/2021","Home Depot","HOMEDEPOT.COM","304.81","debit","Home Improvement","CREDIT CARD","",""
"12/07/2021","SCHWAB BROKERAGE MONEYLINK","Schwab Brokerage","383.49","credit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"12/07/2021","Venmo","Transfer to Venmo","20.00","debit","Gift","LIFEGREEN CHECKING F","",""
"12/07/2021","American Wager William","American Wager William Tn West","100.00","credit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"12/07/2021","Peacock F709F P 4899","Peacock F Premium Nypeacock","5.46","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"12/06/2021","MOTHER`S RUIN 2","MOTHER`S RUIN 2","6.56","debit","Alcohol & Bars","CREDIT CARD","",""
"12/06/2021","Trader Joe's","TRADER JOE'S #739 QPS","25.68","debit","Groceries","CREDIT CARD","",""
"12/06/2021","Chase Credit Card","Chase Credit Card","2668.83","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"12/06/2021","Medium.com","Medium.com","0.18","credit","Freelancing","LIFEGREEN CHECKING F","",""
"12/06/2021","Forty Ten Barber Studio Nashvi","Forty Ten Barber Studio Nashvi","45.00","debit","Hair","LIFEGREEN CHECKING F","",""
"12/06/2021","Spotify","Spotify","10.94","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"12/06/2021","Bluehost.com","Bluehost.com","18.99","debit","Business Services","LIFEGREEN CHECKING F","",""
"12/06/2021","Uber.com","Uber","12.93","debit","Fun","LIFEGREEN CHECKING F","",""
"12/05/2021","OLE SMOKY DISTILLERY,","SQ *OLE SMOKY DISTILLERY,","15.00","debit","Alcohol & Bars","CREDIT CARD","",""
"12/05/2021","OLE SMOKY DISTILLERY","OLE SMOKY DISTILLERY","31.00","debit","Alcohol & Bars","CREDIT CARD","",""
"12/05/2021","TST* OKE POKE","TST* OKE POKE","8.33","debit","Restaurants","CREDIT CARD","",""
"12/05/2021","Payment Thank You-Mobile","Payment Thank You-Mobile","2668.83","credit","Credit Card Payment","CREDIT CARD","",""
"12/05/2021","TACO CHELA 2","TACO CHELA 2","9.74","debit","Restaurants","CREDIT CARD","",""
"12/05/2021","TST* BAR SOVEREIGN","TST* BAR SOVEREIGN","12.00","debit","Alcohol & Bars","CREDIT CARD","",""
"12/03/2021","Robertson Avenue Market Nashvi","Robertson Avenue Market Nashvi","18.56","debit","Alcohol & Bars","LIFEGREEN CHECKING F","",""
"12/03/2021","Transfer from Venmo","Transfer from Venmo","20.00","credit","Transfer","LIFEGREEN CHECKING F","",""
"12/02/2021","Transfer from Venmo","Transfer from Venmo","1304.00","credit","Transfer","LIFEGREEN CHECKING F","",""
"12/01/2021","Netflix","Netflix","9.84","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"12/01/2021","Publix","PUBLIX #1722","16.15","debit","Groceries","CREDIT CARD","",""
"12/01/2021","American Airlines","AMERICAN AIR0017679813862","343.48","debit","Vacation","CREDIT CARD","",""
"12/01/2021","American Airlines","AMERICAN AIR0017679813861","343.48","debit","Vacation","CREDIT CARD","",""
"11/30/2021","Nes Power Utility Carson West","Nes Power Utility Carson West","45.10","debit","Utilities","LIFEGREEN CHECKING F","",""
"11/30/2021","Chase Credit Card Payment","Chase Credit Card Payment","904.58","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"11/30/2021","AT&T","AT&T","80.92","debit","Utilities","LIFEGREEN CHECKING F","",""
"11/30/2021","Chipotle","CHIPOTLE 2040","8.03","debit","Restaurants","CREDIT CARD","",""
"11/30/2021","Expedia","EXPEDIA 72206293515468","1919.60","debit","Vacation","CREDIT CARD","",""
"11/29/2021","Venmo","Transfer to Venmo","170.00","debit","Alcohol & Bars","LIFEGREEN CHECKING F","",""
"11/29/2021","Metro Water Ut Bill Carson Wes","Metro Water Ut Bill Carson Wes","21.63","debit","Utilities","LIFEGREEN CHECKING F","",""
"11/29/2021","Purchase","PayPal Purchase","25.00","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"11/29/2021","Medium Monthly Httpsmedium Cam","Medium Monthly Httpsmedium Cam","5.00","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"11/29/2021","Americano","American Wager William Tn West","25.00","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"11/29/2021","Americano","American Wager William Tn West","100.00","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"11/29/2021","ROBERTSON AVENUE MARKET","ROBERTSON AVENUE MARKET","18.56","debit","Alcohol & Bars","CREDIT CARD","",""
"11/29/2021","Trader Joe's","TRADER JOE'S #739 QPS","19.53","debit","Groceries","CREDIT CARD","",""
"11/29/2021","Payment Thank You - Web","Payment Thank You - Web","904.58","credit","Credit Card Payment","CREDIT CARD","",""
"11/28/2021","Chipotle","CHIPOTLE 2040","8.03","debit","Restaurants","CREDIT CARD","",""
"11/28/2021","ANATOLIA","ANATOLIA","46.70","debit","Restaurants","CREDIT CARD","",""
"11/28/2021","Woodlands Indian Cuisine LLC","WOODLANDS INDIAN CUISINE","39.60","debit","Restaurants","CREDIT CARD","",""
"11/28/2021","WWW.LUCY.CO","WWW.LUCY.CO","32.78","debit","Alcohol & Bars","CREDIT CARD","",""
"11/26/2021","Purchase","PayPal Purchase","20.00","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"11/26/2021","Purchase","PayPal Purchase","25.00","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"11/26/2021","Chipotle","Chipotle","8.03","debit","Restaurants","LIFEGREEN CHECKING F","",""
"11/26/2021","Transfer from Venmo","Transfer from Venmo","139.00","credit","Transfer","LIFEGREEN CHECKING F","",""
"11/25/2021","San Antonio Taco Company Inc","San Antonio Taco Co","20.68","debit","Restaurants","CREDIT CARD","",""
"11/25/2021","Red Door Saloon","RED DOOR SALOON","64.02","debit","Alcohol & Bars","CREDIT CARD","",""
"11/25/2021","Trader Joe's","TRADER JOE'S #739 QPS","20.13","debit","Groceries","CREDIT CARD","",""
"11/24/2021","Alliancebernstei","Alliancebernstei","1857.36","credit","Income","LIFEGREEN CHECKING F","",""
"11/24/2021","CAVA 5TH & BROADWAY","CAVA 5TH & BROADWAY","10.92","debit","Restaurants","CREDIT CARD","",""
"11/24/2021","ROBERTSON AVENUE MARKET","ROBERTSON AVENUE MARKET","18.56","debit","Alcohol & Bars","CREDIT CARD","",""
"11/23/2021","BASTION","BASTION","52.80","debit","Dates","CREDIT CARD","",""
"11/23/2021","ERIE INS GROUP ERIEXPSPAY Cars","Erie Insurance","8.75","debit","Home Insurance","LIFEGREEN CHECKING F","",""
"11/23/2021","WF HOME MTG AUTO PAY CARSON WE","Wells Fargo Mortgage","1341.13","debit","Mortgage & Rent","LIFEGREEN CHECKING F","",""
"11/23/2021","ERIE INS GROUP ERIEXPSPAY CARS","Erie Insurance","56.92","debit","Home Insurance","LIFEGREEN CHECKING F","",""
"11/22/2021","Chick-Fil-A","CHICK-FIL-A #02886","27.24","debit","Restaurants","CREDIT CARD","",""
"11/22/2021","Diskin Cider LLC","DISKIN CIDER","20.98","debit","Dates","CREDIT CARD","",""
"11/22/2021","Lucky","LUCKY`S 3 STAR","35.52","debit","Dates","CREDIT CARD","",""
"11/22/2021","STK NASHVILLE","STK NASHVILLE","193.69","debit","Dates","CREDIT CARD","",""
"11/22/2021","Chase Credit Card Payment","Chase Credit Card Payment","174.71","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"11/22/2021","ViacomCBS Streaming","ViacomCBS Streaming","5.46","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"11/22/2021","Discover Credit Card Payment","Discover Credit Card Payment","39.50","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"11/21/2021","LUXE & LUNA","LUXE & LUNA","100.00","debit","Dates","CREDIT CARD","",""
"11/21/2021","CAVA 5TH & BROADWAY","CAVA 5TH & BROADWAY","10.92","debit","Restaurants","CREDIT CARD","",""
"11/21/2021","Payment Thank You - Web","Payment Thank You - Web","174.71","credit","Credit Card Payment","CREDIT CARD","",""
"11/21/2021","Kroger Fuel","KROGER FUEL 9547","35.54","debit","Gas & Fuel","CREDIT CARD","",""
"11/21/2021","TEE LINE","TEE LINE","75.38","debit","Alcohol & Bars","CREDIT CARD","",""
"11/21/2021","OSHI FLORAL DESIGN","OSHI FLORAL DESIGN","91.09","debit","Gift","CREDIT CARD","",""
"11/21/2021","CASHBACK BONUS REDEMPTION payment/STMT CRDT","CASHBACK BONUS REDEMPTION PYMT/STMT CRDT","0.92","credit","Bonus","DISCOVER IT CHROME CARD","",""
"11/21/2021","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","39.50","credit","Credit Card Payment","DISCOVER IT CHROME CARD","",""
"11/19/2021","Oscar's Taco Shop","OSCAR'S TACO SHOP","20.51","debit","Restaurants","CREDIT CARD","",""
"11/19/2021","Best Buy","BESTBUYCOM806524510211","16.38","debit","Electronics & Software","CREDIT CARD","",""
"11/18/2021","Chipotle","CHIPOTLE 2040","8.03","debit","Restaurants","CREDIT CARD","",""
"11/18/2021","Trader Joe's","TRADER JOE'S #739 QPS","18.62","debit","Groceries","CREDIT CARD","",""
"11/18/2021","ROBERTSON AVENUE MARKET","ROBERTSON AVENUE MARKET","18.56","debit","Alcohol & Bars","CREDIT CARD","",""
"11/17/2021","HIDEAWAY HOUSE-SEDONA","HIDEAWAY HOUSE-SEDONA","87.86","debit","Restaurants","CREDIT CARD","",""
"11/17/2021","Venmo","Transfer to Venmo","48.00","debit","Alcohol & Bars","LIFEGREEN CHECKING F","",""
"11/16/2021","GIFTS GALORE","GIFTS GALORE","28.68","debit","Vacation","CREDIT CARD","",""
"11/16/2021","Taco Bell","TACO BELL #27462","16.38","debit","Vacation","CREDIT CARD","",""
"11/16/2021","DAM BAR BLUE BUDDHA","DAM BAR BLUE BUDDHA","49.29","debit","Vacation","CREDIT CARD","",""
"11/16/2021","Aramark","ARAMARK LP ADVENTURE STOR","31.86","debit","Vacation","CREDIT CARD","",""
"11/16/2021","PEACE PLACE GIFTS","PEACE PLACE GIFTS","9.42","debit","Vacation","CREDIT CARD","",""
"11/15/2021","Shell","SHELL OIL 12567094003","38.64","debit","Vacation","CREDIT CARD","",""
"11/15/2021","Subway","Subway 38561","22.57","debit","Vacation","CREDIT CARD","",""
"11/15/2021","Hyatt","PAGE HYATT PLACE","15.31","debit","Vacation","CREDIT CARD","",""
"11/15/2021","Piedmont Natural Gas Company, Inc.","Piedmont Natural Gas","21.16","debit","Utilities","LIFEGREEN CHECKING F","",""
"11/14/2021","JUDIS RESTAURANT","JUDIS RESTAURANT","42.98","debit","Restaurants","CREDIT CARD","",""
"11/14/2021","Circle K","CIRCLE K 05923","22.90","debit","Travel","CREDIT CARD","",""
"11/14/2021","SKY ROCK INN OF SEDONA","SKY ROCK INN OF SEDONA","8.04","debit","Vacation","CREDIT CARD","",""
"11/14/2021","McDonald's","MCDONALD'S F5077","9.49","debit","Vacation","CREDIT CARD","",""
"11/14/2021","STATE 48 TAVERN","STATE 48 TAVERN","63.23","debit","Restaurants","CREDIT CARD","",""
"11/14/2021","YAVAPAI CAFATERIA","YAVAPAI CAFATERIA","20.17","debit","Vacation","CREDIT CARD","",""
"11/12/2021","COLD BEERS UPNGO.COM","COLD BEERS   UPNGO.COM","64.44","debit","Vacation","CREDIT CARD","",""
"11/12/2021","TST* TAP-N-BOWL","TST* TAP-N-BOWL","51.20","debit","Vacation","CREDIT CARD","",""
"11/12/2021","OLD GLORY","OLD GLORY","10.80","debit","Alcohol & Bars","CREDIT CARD","",""
"11/12/2021","TOCA MADERA SCOTTSDALE","TOCA MADERA SCOTTSDALE","104.28","debit","Vacation","CREDIT CARD","",""
"11/10/2021","ALLIANCEBERNSTEI PAYROLL","Alliancebernstei Payroll West","1887.36","credit","Paycheck","LIFEGREEN CHECKING F","",""
"11/10/2021","Chipotle","Chipotle","8.03","debit","Restaurants","LIFEGREEN CHECKING F","",""
"11/09/2021","World Gym","World Gym","49.99","debit","Gym","LIFEGREEN CHECKING F","",""
"11/08/2021","Best Buy","Offer:Best Buy  (Onlin","25.00","credit","Electronics & Software","CREDIT CARD","",""
"11/08/2021","Best Buy","BEST BUY MHT  00011304","468.68","credit","Credit Card Payment","CREDIT CARD","",""
"11/08/2021","ROBERTSON AVENUE MARKET","ROBERTSON AVENUE MARKET","18.56","debit","Alcohol & Bars","CREDIT CARD","",""
"11/08/2021","Chipotle","CHIPOTLE 2040","8.03","debit","Restaurants","CREDIT CARD","",""
"11/08/2021","RAINS MARKET EATERY","RAINS MARKET  EATERY","24.01","debit","Vacation","CREDIT CARD","",""
"11/08/2021","Forty Ten Barbe 1253","Forty Ten Barber Studio Nashvi","45.00","debit","Hair","LIFEGREEN CHECKING F","",""
"11/08/2021","Venmo","Transfer to Venmo","17.00","debit","Alcohol & Bars","LIFEGREEN CHECKING F","",""
"11/08/2021","Peacock A0BA0 P 4899","Peacock A Ba Premium Nypeacock","5.46","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"11/08/2021","CHASE CREDIT CRD EPAY","Chase Credit Card Payment","1134.51","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"11/08/2021","Chick-Fil-A","Chick-fil-A","21.39","debit","Restaurants","LIFEGREEN CHECKING F","",""
"11/07/2021","Kroger Fuel","KROGER FUEL 9547","36.52","debit","Gas & Fuel","CREDIT CARD","",""
"11/07/2021","HIFI COOKIES","SQ *HIFI COOKIES","27.31","debit","Gift","CREDIT CARD","",""
"11/07/2021","Chipotle","CHIPOTLE 2040","8.03","debit","Restaurants","CREDIT CARD","",""
"11/07/2021","Woodlands Indian Cuisine LLC","WOODLANDS INDIAN CUISINE 615-603-1262 TN","40.42","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"11/05/2021","Payment Thank You - Web","Payment Thank You - Web","1134.51","credit","Credit Card Payment","CREDIT CARD","",""
"11/05/2021","Redemption","REDEMPTION CREDIT","260.13","credit","Credit Card Payment","CREDIT CARD","",""
"11/05/2021","Chipotle","CHIPOTLE 2040","8.58","debit","Restaurants","CREDIT CARD","",""
"11/05/2021","TEE LINE","TEE LINE","17.84","debit","Alcohol & Bars","CREDIT CARD","",""
"11/05/2021","Medium.com Medium.com","Medium.com","0.23","credit","Freelancing","LIFEGREEN CHECKING F","",""
"11/05/2021","Spotify","Spotify","10.94","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"11/04/2021","CAVA 5TH & BROADWAY","CAVA 5TH & BROADWAY","10.92","debit","Restaurants","CREDIT CARD","",""
"11/04/2021","Apple","APPLE STORE #R133","468.68","debit","Electronics & Software","CREDIT CARD","",""
"11/04/2021","HEALTHWAREHOUSE 1253","Healthwarehousecom Kyhealthwar","22.68","debit","Pharmacy","LIFEGREEN CHECKING F","",""
"11/03/2021","ROBERTSON AVENUE MARKET","ROBERTSON AVENUE MARKET","18.56","debit","Alcohol & Bars","CREDIT CARD","",""
"11/03/2021","CAVA 5TH & BROADWAY","CAVA 5TH & BROADWAY","10.92","debit","Restaurants","CREDIT CARD","",""
"11/03/2021","Best Buy","BESTBUYCOM806511610133","468.68","debit","Credit Card Payment","CREDIT CARD","",""
"11/03/2021","MOBILE DEPOSIT-AVAIL TONIGHT","MOBILE DEPOSIT-AVAIL TONIGHT","321.92","credit","Income","LIFEGREEN CHECKING F","",""
"11/02/2021","Ml Rose","ML ROSE","68.10","debit","Alcohol & Bars","CREDIT CARD","",""
"11/02/2021","Venmo","VENMO            PAYMENT","15.00","debit","Alcohol & Bars","LIFEGREEN CHECKING F","",""
"11/02/2021","Venmo","VENMO            PAYMENT","14.00","debit","Alcohol & Bars","LIFEGREEN CHECKING F","",""
"11/02/2021","ABC*QNTM FIT LI 7997","ABC*QNTM FIT LI  7997","69.99","debit","Gym","LIFEGREEN CHECKING F","",""
"11/02/2021","Venmo","VENMO            PAYMENT","33.00","debit","Alcohol & Bars","LIFEGREEN CHECKING F","",""
"11/01/2021","PY *NuPower YogaBarre","PY *NuPower YogaBarre","10.29","debit","Dates","CREDIT CARD","",""
"11/01/2021","JUNKYARD DOG","JUNKYARD DOG","15.99","debit","Restaurants","CREDIT CARD","",""
"11/01/2021","Chipotle","CHIPOTLE 2040","8.03","debit","Restaurants","CREDIT CARD","",""
"11/01/2021","Lewis & Clarke's LLC","LEWIS & CLARKE'S","3.50","debit","Alcohol & Bars","CREDIT CARD","",""
"11/01/2021","Venmo","VENMO            PAYMENT","20.00","debit","Alcohol & Bars","LIFEGREEN CHECKING F","",""
"11/01/2021","Netflix","Netflix.com      4899","9.84","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"11/01/2021","Venmo","VENMO            PAYMENT","30.00","debit","Alcohol & Bars","LIFEGREEN CHECKING F","",""
"11/01/2021","SCHWAB BROKERAGE MONEYLINK","SCHWAB BROKERAGE MONEYLINK","2000.00","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"10/31/2021","Chipotle","CHIPOTLE 2040","8.03","debit","Restaurants","CREDIT CARD","",""
"10/31/2021","Academy Sports","ACADEMY SPORTS #91","109.24","debit","Clothing","CREDIT CARD","",""
"10/31/2021","RIPPYS BAR AND GRILL","RIPPYS BAR AND GRILL","48.58","debit","Alcohol & Bars","CREDIT CARD","",""
"10/31/2021","INTEREST PAID","INTEREST PAID","0.01","credit","Interest Income","ONLINE SAVINGS","",""
"10/29/2021","Chipotle","CHIPOTLE 2040","8.03","debit","Restaurants","CREDIT CARD","",""
"10/29/2021","TST* HORU SUSHI","TST* HORU SUSHI","50.49","debit","Restaurants","CREDIT CARD","",""
"10/29/2021","NES POWER UTILITY","NES POWER        UTILITY","69.08","debit","Utilities","LIFEGREEN CHECKING F","",""
"10/29/2021","Coinbase","COINBASE INC.    8889087930","341.50","credit","Income","LIFEGREEN CHECKING F","",""
"10/29/2021","AT&T","ATT              Payment","80.92","debit","Utilities","LIFEGREEN CHECKING F","",""
"10/28/2021","MEDIUM MONTHLY 5968","MEDIUM MONTHLY   5968","5.00","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"10/28/2021","ROBERTSON AVENU 1253","ROBERTSON AVENU  1253","18.56","debit","Alcohol & Bars","LIFEGREEN CHECKING F","",""
"10/28/2021","CHECK #202 202","CHECK #202","6192.83","debit","Home Improvement","LIFEGREEN CHECKING F","",""
"10/28/2021","ALLIANCEBERNSTEI PAYROLL","ALLIANCEBERNSTEI PAYROLL","1857.36","credit","Paycheck","LIFEGREEN CHECKING F","",""
"10/28/2021","METRO WATER UT BILL","METRO WATER      UT BILL","21.63","debit","Utilities","LIFEGREEN CHECKING F","",""
"10/27/2021","Apple","APPLE STORE #R133","577.93","credit","Credit Card Payment","CREDIT CARD","",""
"10/27/2021","CHASE CREDIT CRD EPAY","CHASE CREDIT CRD EPAY","700.00","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"10/27/2021","DISCOVER E-PAYMENT","DISCOVER         E-PAYMENT","1.83","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"10/26/2021","Payment Thank You - Web","Payment Thank You - Web","700.00","credit","Credit Card Payment","CREDIT CARD","",""
"10/26/2021","Regions Bank","ACH WITHDRAWAL REGIONS BANK","47.65","debit","Financial","ONLINE SAVINGS","",""
"10/26/2021","DISCOVER BANK PREARRANGE","DISCOVER BANK    PREARRANGE","47.65","credit","Credit Card Payment","LIFEGREEN CHECKING F","",""
